Project,NumBuilds,NumFailed,NumErrored,TrendCoeff,AvgFixTime
Activiti_Activiti,126,27,29,0.324175824175824,212354
Asana_java-asana,36,1,9,0,54526
AsyncHttpClient_async-http-client,199,23,7,-0.0928571428571429,52860
Atmosphere_atmosphere,53,1,3,-0.0439560439560439,821323
AxonFramework_AxonFramework,332,60,1,-0.0521739130434783,35075
AzureAD_azure-activedirectory-library-for-java,60,2,7,-0.0734265734265734,75755
Baeldung_spring-security-registration,46,2,4,-0.00790513833992095,240039
CESNET_perun,691,42,72,-0.0973913043478259,34416
CloudSlang_cloud-slang,60,1,2,-2.6539406435475e-17,82061
CloudSlang_cs-actions,260,1,12,0.143356643356643,258773
CloudSlang_score,50,1,1,-0.0857142857142858,207190
DSpace_DSpace,480,118,3,0.011304347826087,55477
Evolveum_midpoint,596,458,28,-0.611739130434783,276520
FeatureIDE_FeatureIDE,104,21,1,-0.0285714285714286,339754
FenixEdu_fenixedu-academic,238,0,37,-0.00909090909090913,40684
Graylog2_gelfclient,19,0,3,NA,1714
Graylog2_graylog2-server,650,58,33,0.161739130434783,27543
HubSpot_Rosetta,11,0,3,NA,1486
HubSpot_jinjava,59,3,4,0.0818181818181818,1662
LiveRamp_hank,17,3,3,0.7,211004
ObeoNetwork_SysML-Designer,40,0,12,0.0999999999999998,1672887
ObeoNetwork_UML-Designer,42,2,3,-0.25,128131
OpenTOSCA_container,131,0,8,0.0225563909774436,53063
SonarSource_sonar-java,1349,46,1,0.121304347826087,7236
WASdev_sample.batch.bonuspayout,13,0,1,NA,NA
authorjapps_zerocode,212,11,3,-0.0196078431372549,62313
cerberustesting_cerberus-source,423,56,25,-0.145256916996047,88262
checkstyle_checkstyle,1651,328,191,0.162608695652174,18933
codecentric_spring-boot-admin,379,57,47,-0.103754940711462,54572
daisy_pipeline-mod-braille,13,3,1,0.285714285714286,1291202
datasift_datasift-java,22,1,0,NA,729
dbeaver_dbeaver,1191,157,4,0.492608695652174,60588
deegree_deegree3,69,0,28,0.272727272727272,488411
fcrepo4_fcrepo4,318,17,8,-0.0699248120300752,81885
geotools_geotools,576,117,9,-0.0626086956521739,31964
getgauge_gauge-java,75,7,5,0.0392156862745098,8854
gooddata_gooddata-java,157,16,1,-0.107142857142857,6011
google_closure-compiler,305,22,0,0.0296442687747035,40758
google_guava,211,18,7,0.00988142292490118,336557
google_truth,118,1,2,-0.00515995872033024,200409
graphaware_neo4j-uuid,26,1,2,-0.0857142857142858,60503
hhru_nuts-and-bolts,173,6,28,0.225274725274725,63946
imglib_imglib2,96,6,0,0.0147058823529412,3251
jamesagnew_hapi-fhir,453,228,30,0.0291304347826085,143016
jhunters_jprotobuf,21,0,2,-0.0714285714285714,2429
jtablesaw_tablesaw,465,8,64,0.0612745098039216,43547
magefree_mage,2053,561,129,-0.535573122529644,16805
marklogic-community_ml-app-deployer,19,19,0,-0.0303030303030303,NA
molgenis_molgenis,1543,396,141,-0.330434782608695,20700
openmicroscopy_bioformats,336,6,10,-0.00296442687747036,60020
openmrs_openmrs-core,821,44,117,-0.353913043478261,24769
openmrs_openmrs-module-fhir,40,0,1,NA,52182
openmrs_openmrs-module-htmlformentry,59,5,3,-0.5,30267
opentable_otj-logging,12,0,12,-2,NA
opentable_otj-pg-embedded,27,0,7,-0.183333333333333,603128
openworm_org.geppetto.core,15,5,4,2,1814524
openworm_org.geppetto.model.neuroml,4,2,0,NA,222856
otavanopisto_pyramus,156,5,3,-0.0588235294117647,108941
php-coder_mystamps,136,24,3,-0.010989010989011,94788
proofpoint_platform,134,8,4,0.0731225296442688,15497
qos-ch_logback,90,1,44,0,212091
rackerlabs_blueflood,36,32,0,-0.2,3652102
resteasy_Resteasy,592,127,24,0.391739130434782,32905
saalfeldlab_render,49,3,1,-0.0272727272727273,7832
saikrishna321_AppiumTestDistribution,151,81,37,-0.0947368421052633,1697235
scijava_scijava-common,72,4,1,0.0494505494505494,317120
soluvas_soluvas-framework,40,0,1,NA,9979
speedment_speedment,101,0,1,NA,302415
spotify_docker-client,110,9,28,0.114285714285714,167673
spring-cloud_spring-cloud-aws,286,2,5,0.00304347826086956,30415
spring-cloud_spring-cloud-bus,25,1,0,NA,430841
square_okhttp,744,59,123,0.0717391304347825,26304
square_retrofit,131,4,9,-0.0571428571428572,143276
testmycode_tmc-cli,5,0,2,-1,4307482
thingsboard_thingsboard,339,29,20,-0.0721343873517786,58802
thingsboard_thingsboard-gateway,1,1,0,NA,NA
threerings_tripleplay,20,0,7,-0.542857142857143,1799631
unic_neba,40,5,1,0.0999999999999999,256711
unipop-graph_unipop,25,1,5,0,260123
vespa-engine_vespa,4767,325,224,-0.110869565217391,3280
weld_core,297,14,12,-0.0526086956521739,47343
wmixvideo_nfe,176,11,2,0.0311688311688312,16414
xetorthio_jedis,160,53,3,0.192857142857143,302859
